iter	Passed	Remaining
0	3	339
1	6	330
2	10	324
3	12	304
4	15	303
5	19	299
6	22	298
7	25	297
8	27	281
9	29	264
10	31	251
11	32	239
12	34	228
13	35	219
14	38	215
15	40	211
16	42	207
17	45	205
18	47	203
19	49	199
20	51	194
21	53	190
22	55	186
23	57	181
24	58	176
25	60	172
26	62	167
27	63	163
28	65	159
29	66	156
30	68	152
31	70	149
32	72	146
33	74	144
34	76	141
35	78	140
36	81	138
37	83	135
38	85	133
39	86	130
40	88	127
41	89	123
42	90	120
43	92	117
44	94	114
45	95	112
46	97	109
47	99	107
48	100	104
49	102	102
50	103	99
51	105	97
52	106	94
53	108	92
54	109	89
55	110	87
56	112	84
57	113	82
58	115	80
59	117	78
60	118	75
61	120	73
62	121	71
63	123	69
64	125	67
65	126	65
66	128	63
67	129	61
68	131	59
69	132	56
70	134	54
71	136	52
72	137	50
73	139	48
74	140	46
75	142	44
76	143	43
77	145	41
78	147	39
79	148	37
80	150	35
81	151	33
82	153	31
83	154	29
84	156	27
85	157	25
86	159	23
87	160	21
88	162	20
89	164	18
90	165	16
91	167	14
92	169	12
93	170	10
94	172	9
95	174	7
96	175	5
97	177	3
98	178	1
99	181	0
