iter	Passed	Remaining
0	3283	3280645
1	3287	1640318
2	3290	1093600
3	3294	820228
4	3297	656154
5	3300	546781
6	3302	468430
7	3303	409660
8	3305	363950
9	3306	327375
10	3309	297559
11	3311	272625
12	3312	251519
13	3314	233429
14	3315	217748
15	3317	204032
16	3319	191926
17	3320	181161
18	3322	171534
19	3323	162868
20	3325	155031
21	3327	147903
22	3328	141395
23	3331	135476
24	3332	129984
25	3334	124914
26	3336	120220
27	3337	115860
28	3339	111801
29	3340	108013
30	3342	104470
31	3343	101148
32	3345	98028
33	3346	95090
34	3348	92323
35	3350	89707
36	3353	87282
37	3355	84938
38	3356	82713
39	3358	80600
40	3359	78588
41	3361	76673
42	3363	74846
43	3364	73101
44	3366	71436
45	3367	69841
46	3369	68315
47	3370	66853
48	3373	65472
49	3374	64124
50	3376	62830
51	3378	61585
52	3379	60387
53	3381	59235
54	3382	58123
55	3384	57051
56	3385	56015
57	3387	55017
58	3389	54052
59	3390	53119
60	3392	52217
61	3393	51346
62	3396	50513
63	3397	49693
64	3399	48900
65	3401	48129
66	3402	47381
67	3404	46656
68	3405	45951
69	3407	45267
70	3408	44601
71	3410	43955
72	3411	43326
73	3413	42713
74	3414	42117
75	3417	41554
76	3419	40989
77	3421	40438
78	3422	39901
79	3424	39377
80	3425	38867
81	3427	38368
82	3428	37874
83	3429	37400
84	3431	36936
85	3432	36483
86	3434	36041
87	3435	35608
88	3437	35185
89	3440	34783
90	3441	34379
91	3443	33984
92	3444	33597
93	3446	33220
94	3448	32851
95	3450	32488
96	3451	32131
97	3453	31782
98	3454	31440
99	3456	31105
100	3457	30776
101	3459	30454
102	3462	30150
103	3463	29841
104	3465	29537
105	3466	29238
106	3468	28946
107	3470	28659
108	3471	28377
109	3473	28101
110	3474	27829
111	3476	27562
112	3477	27300
113	3479	27042
114	3481	26789
115	3482	26540
116	3484	26300
117	3486	26059
118	3487	25822
119	3489	25589
120	3491	25360
121	3492	25133
122	3493	24911
123	3495	24693
124	3497	24479
125	3498	24268
126	3499	24059
127	3501	23854
128	3503	23653
129	3504	23454
130	3507	23265
131	3508	23072
132	3510	22883
133	3512	22697
134	3513	22514
135	3515	22332
136	3516	22153
137	3518	21977
138	3520	21803
139	3521	21632
140	3523	21463
141	3524	21293
142	3525	21129
143	3527	20969
144	3529	20811
145	3530	20653
146	3532	20498
147	3534	20345
148	3535	20193
149	3537	20044
150	3538	19897
151	3540	19751
152	3541	19607
153	3543	19465
154	3544	19325
155	3546	19187
156	3548	19051
157	3550	18922
158	3552	18789
159	3553	18658
160	3554	18525
161	3556	18397
162	3557	18270
163	3559	18144
164	3561	18021
165	3562	17899
166	3564	17778
167	3565	17659
168	3567	17541
169	3568	17424
170	3570	17309
171	3573	17204
172	3575	17091
173	3576	16980
174	3578	16870
175	3580	16761
176	3581	16653
177	3583	16546
178	3584	16441
179	3586	16337
180	3587	16233
181	3589	16131
182	3590	16031
183	3592	15931
184	3595	15837
185	3596	15739
186	3598	15643
187	3599	15547
188	3601	15453
189	3602	15359
190	3604	15266
191	3605	15174
192	3607	15083
193	3608	14993
194	3610	14904
195	3612	14816
196	3613	14729
197	3615	14643
198	3618	14565
199	3620	14480
200	3621	14396
201	3623	14313
202	3624	14231
203	3626	14150
204	3628	14069
205	3629	13989
206	3631	13910
207	3632	13831
208	3634	13754
209	3635	13677
210	3637	13601
211	3640	13530
212	3641	13456
213	3643	13381
214	3644	13308
215	3646	13235
216	3647	13162
217	3649	13090
218	3650	13019
219	3652	12949
220	3653	12879
221	3655	12810
222	3656	12741
223	3658	12674
224	3660	12607
225	3662	12544
226	3664	12478
227	3665	12412
228	3667	12347
229	3669	12283
230	3670	12219
231	3672	12156
232	3673	12093
233	3675	12031
234	3676	11969
235	3678	11907
236	3679	11846
237	3681	11786
238	3682	11726
239	3685	11669
240	3686	11610
241	3688	11553
242	3689	11494
243	3691	11437
244	3692	11380
245	3694	11323
246	3695	11267
247	3697	11211
248	3699	11156
249	3700	11101
250	3702	11047
251	3703	10993
252	3705	10941
253	3707	10888
254	3709	10836
255	3710	10783
256	3712	10731
257	3713	10680
258	3715	10629
259	3716	10578
260	3718	10527
261	3719	10477
262	3721	10427
263	3722	10378
264	3724	10330
265	3725	10281
266	3728	10236
267	3730	10188
268	3731	10141
269	3733	10093
270	3734	10047
271	3736	10000
272	3738	9954
273	3739	9908
274	3741	9863
275	3742	9818
276	3744	9773
277	3746	9729
278	3747	9684
279	3750	9645
280	3752	9601
281	3754	9558
282	3755	9515
283	3757	9472
284	3758	9430
285	3760	9387
286	3761	9345
287	3763	9304
288	3765	9262
289	3766	9221
290	3768	9180
291	3769	9140
292	3771	9100
293	3773	9062
294	3775	9022
295	3776	8982
296	3778	8943
297	3780	8904
298	3781	8865
299	3783	8827
300	3784	8789
301	3786	8751
302	3787	8713
303	3789	8675
304	3790	8638
305	3792	8601
306	3795	8566
307	3796	8530
308	3798	8493
309	3799	8457
310	3801	8421
311	3802	8385
312	3804	8349
313	3805	8314
314	3807	8279
315	3808	8244
316	3810	8209
317	3811	8175
318	3813	8141
319	3815	8106
320	3817	8075
321	3819	8041
322	3820	8008
323	3822	7974
324	3823	7941
325	3825	7909
326	3827	7877
327	3828	7844
328	3830	7813
329	3832	7781
330	3834	7749
331	3835	7717
332	3837	7685
333	3839	7656
334	3841	7625
335	3842	7594
336	3844	7563
337	3846	7532
338	3847	7502
339	3849	7471
340	3850	7441
341	3852	7411
342	3853	7381
343	3855	7351
344	3856	7322
345	3858	7293
346	3859	7263
347	3862	7236
348	3864	7207
349	3865	7179
350	3867	7150
351	3868	7121
352	3870	7093
353	3871	7065
354	3873	7037
355	3874	7009
356	3876	6981
357	3877	6954
358	3879	6926
359	3881	6899
360	3882	6872
361	3884	6846
362	3886	6819
363	3888	6793
364	3889	6766
365	3891	6740
366	3892	6714
367	3894	6688
368	3896	6662
369	3897	6636
370	3899	6610
371	3900	6585
372	3902	6559
373	3904	6534
374	3906	6510
375	3908	6486
376	3909	6461
377	3911	6436
378	3912	6411
379	3914	6386
380	3915	6362
381	3917	6337
382	3919	6313
383	3920	6289
384	3922	6265
385	3923	6241
386	3925	6217
387	3927	6195
388	3929	6171
389	3930	6148
390	3932	6124
391	3934	6101
392	3935	6078
393	3937	6055
394	3938	6032
395	3940	6009
396	3941	5986
397	3943	5964
398	3944	5941
399	3946	5919
400	3947	5897
401	3950	5876
402	3952	5854
403	3953	5832
404	3955	5810
405	3956	5789
406	3958	5767
407	3959	5745
408	3961	5724
409	3962	5702
410	3964	5681
411	3965	5660
412	3967	5638
413	3968	5617
414	3970	5596
415	3973	5577
416	3974	5557
417	3976	5536
418	3978	5516
419	3979	5495
420	3981	5475
421	3982	5454
422	3984	5434
423	3985	5414
424	3987	5394
425	3988	5374
426	3990	5354
427	3991	5335
428	3993	5315
429	3995	5296
430	3997	5277
431	3998	5257
432	4000	5238
433	4001	5219
434	4003	5199
435	4004	5180
436	4006	5161
437	4007	5142
438	4009	5123
439	4011	5105
440	4013	5086
441	4014	5068
442	4017	5051
443	4018	5032
444	4020	5014
445	4021	4995
446	4023	4977
447	4024	4959
448	4026	4941
449	4027	4923
450	4029	4905
451	4030	4887
452	4032	4869
453	4034	4851
454	4035	4833
455	4037	4816
456	4039	4799
457	4041	4782
458	4042	4765
459	4044	4747
460	4045	4730
461	4047	4713
462	4048	4696
463	4050	4679
464	4052	4662
465	4053	4645
466	4055	4628
467	4056	4611
468	4058	4594
469	4059	4577
470	4062	4562
471	4063	4546
472	4065	4529
473	4066	4513
474	4068	4496
475	4069	4480
476	4071	4464
477	4072	4447
478	4074	4431
479	4075	4415
480	4077	4399
481	4079	4383
482	4080	4367
483	4083	4353
484	4084	4337
485	4086	4321
486	4087	4306
487	4089	4290
488	4090	4274
489	4092	4259
490	4094	4244
491	4095	4228
492	4097	4213
493	4098	4198
494	4100	4182
495	4101	4167
496	4103	4152
497	4105	4138
498	4107	4124
499	4109	4109
500	4110	4094
501	4112	4079
502	4113	4064
503	4115	4050
504	4117	4035
505	4118	4020
506	4120	4006
507	4121	3991
508	4123	3977
509	4124	3962
510	4126	3948
511	4128	3935
512	4130	3921
513	4131	3906
514	4133	3892
515	4134	3878
516	4136	3864
517	4138	3850
518	4139	3836
519	4141	3822
520	4142	3808
521	4144	3794
522	4145	3781
523	4147	3767
524	4149	3753
525	4150	3740
526	4152	3726
527	4154	3713
528	4155	3699
529	4157	3686
530	4158	3673
531	4160	3659
532	4161	3646
533	4163	3633
534	4164	3619
535	4166	3606
536	4167	3593
537	4169	3580
538	4172	3568
539	4173	3555
540	4175	3542
541	4176	3529
542	4178	3516
543	4180	3503
544	4181	3491
545	4183	3478
546	4184	3465
547	4186	3453
548	4187	3440
549	4189	3427
550	4190	3415
551	4192	3402
552	4195	3390
553	4196	3378
554	4198	3366
555	4199	3353
556	4201	3341
557	4202	3329
558	4204	3316
559	4205	3304
560	4207	3292
561	4208	3280
562	4210	3267
563	4211	3255
564	4213	3243
565	4214	3231
566	4217	3220
567	4218	3208
568	4220	3196
569	4221	3184
570	4223	3173
571	4224	3161
572	4226	3149
573	4228	3137
574	4229	3126
575	4231	3114
576	4232	3103
577	4234	3091
578	4235	3079
579	4238	3069
580	4240	3057
581	4241	3046
582	4243	3035
583	4244	3023
584	4246	3012
585	4247	3001
586	4249	2989
587	4250	2978
588	4252	2967
589	4253	2956
590	4255	2945
591	4257	2933
592	4258	2922
593	4261	2912
594	4262	2901
595	4264	2890
596	4265	2879
597	4267	2868
598	4268	2857
599	4270	2847
600	4272	2836
601	4273	2825
602	4275	2814
603	4276	2803
604	4278	2793
605	4279	2782
606	4281	2771
607	4283	2761
608	4285	2751
609	4286	2740
610	4288	2730
611	4290	2719
612	4291	2709
613	4293	2699
